"ts_code","symbol","name","area","industry","cnspell","market","list_date","act_name","act_ent_type","delist_date","list_status","fullname","enname","exchange","curr_type","is_hs"
"002842.SZ","002842","翔鹭钨业","广东","小金属","xlwy","主板","20170119","陈启丰","民营企业","","L","广东翔鹭钨业股份有限公司","Guangdong Xianglu Tungsten Co., Ltd.","SZSE","CNY","N"
"002843.SZ","002843","泰嘉股份","湖南","钢加工","tjgf","主板","20170120","","","","L","湖南泰嘉新材料科技股份有限公司","Bichamp Cutting Technology (Hunan) Co., Ltd.","SZSE","CNY","N"
"002845.SZ","002845","同兴达","深圳","元器件","txd","主板","20170125","","","","L","深圳同兴达科技股份有限公司","Shenzhen TXD Technology Co.,Ltd.","SZSE","CNY","S"
"002846.SZ","002846","英联股份","广东","广告包装","ylgf","主板","20170207","翁伟武","民营企业","","L","广东英联包装股份有限公司","Guangdong Enpack Packaging Co.,Ltd","SZSE","CNY","N"
"002847.SZ","002847","盐津铺子","湖南","食品","yjpz","主板","20170208","","","","L","盐津铺子食品股份有限公司","YankershopFood Co., Ltd","SZSE","CNY","S"
"002848.SZ","002848","*ST高斯","湖南","家用电器","stgs","主板","20170213","山东省潍坊市人民政府国有资产监督管理委员会","地方国企","","L","高斯贝尔数码科技股份有限公司","Gospell Digital Technology Co., Ltd.","SZSE","CNY","N"
"002849.SZ","002849","威星智能","浙江","电器仪表","wxzn","主板","20170217","","","","L","浙江威星智能仪表股份有限公司","Zhejiang Viewshine Intelligent Meter Co.,Ltd","SZSE","CNY","N"
"002850.SZ","002850","科达利","深圳","电气设备","kdl","主板","20170302","","","","L","深圳市科达利实业股份有限公司","Shenzhen Kedali Industry Co.,Ltd","SZSE","CNY","S"
"002851.SZ","002851","麦格米特","深圳","电气设备","mgmt","主板","20170306","童永胜","民营企业","","L","深圳麦格米特电气股份有限公司","Shenzhen Megmeet Electrical Co.,Ltd.","SZSE","CNY","S"
"002852.SZ","002852","道道全","湖南","食品","ddq","主板","20170310","","","","L","道道全粮油股份有限公司","Daodaoquan Grain and Oil Co.,Ltd.","SZSE","CNY","N"
"002853.SZ","002853","皮阿诺","广东","家居用品","pan","主板","20170310","马礼斌","民营企业","","L","广东皮阿诺科学艺术家居股份有限公司","Guangdong Piano Customized Furniture Co., Ltd.","SZSE","CNY","N"
"002855.SZ","002855","捷荣技术","广东","元器件","jrjs","主板","20170321","赵晓群","外资企业","","L","东莞捷荣技术股份有限公司","Dongguan Chitwing Technology Co.,Ltd.","SZSE","CNY","S"
"002856.SZ","002856","美芝股份","深圳","装修装饰","mzgf","主板","20170320","佛山市南海区国有资产监督管理局","地方国企","","L","深圳市美芝装饰设计工程股份有限公司","Shenzhen Magic Design & Decoration Engineering Co.,Ltd","SZSE","CNY","N"
"002857.SZ","002857","三晖电气","河南","电器仪表","shdq","主板","20170323","胡坤","民营企业","","L","郑州三晖电气股份有限公司","SMS Electric Co.,Ltd.Zhengzhou","SZSE","CNY","N"
"002858.SZ","002858","力盛体育","上海","文教休闲","lsty","主板","20170324","","","","L","力盛云动(上海)体育科技股份有限公司","Lisheng Sports (Shanghai) Co.,Ltd","SZSE","CNY","N"
"002859.SZ","002859","洁美科技","浙江","元器件","jmkj","主板","20170407","","","","L","浙江洁美电子科技股份有限公司","Zhejiang Jiemei Electronic and Technology Co.,Ltd.","SZSE","CNY","S"
"002860.SZ","002860","星帅尔","浙江","家用电器","xse","主板","20170412","","","","L","杭州星帅尔电器股份有限公司","Hangzhou Star Shuaier Electric Appliance Co.,Ltd.","SZSE","CNY","N"
"002861.SZ","002861","瀛通通讯","湖北","元器件","yttx","主板","20170413","黄晖","民营企业","","L","瀛通通讯股份有限公司","Yingtong Telecommunication Co.,Ltd.","SZSE","CNY","N"
"002862.SZ","002862","实丰文化","广东","文教休闲","sfwh","主板","20170411","蔡俊权","民营企业","","L","实丰文化发展股份有限公司","Shifeng Cultural Development Co., Ltd.","SZSE","CNY","N"
"002863.SZ","002863","今飞凯达","浙江","汽车配件","jfkd","主板","20170418","","","","L","浙江今飞凯达轮毂股份有限公司","Zhejiang Jinfei Kaida Wheel Co.,Ltd","SZSE","CNY","N"
"002864.SZ","002864","盘龙药业","陕西","中成药","plyy","主板","20171116","","","","L","陕西盘龙药业集团股份有限公司","Shaanxi Panlong Pharmaceutical Group Limited By Share Ltd","SZSE","CNY","N"
"002865.SZ","002865","钧达股份","海南","电气设备","jdgf","主板","20170425","","","","L","海南钧达新能源科技股份有限公司","Hainan Drinda New Energy Technology Co., Ltd.","SZSE","CNY","S"
"002866.SZ","002866","传艺科技","江苏","IT设备","cykj","主板","20170426","","","","L","江苏传艺科技股份有限公司","Jiangsu Transimage Technology Co., Ltd.","SZSE","CNY","S"
"002867.SZ","002867","周大生","深圳","服饰","zds","主板","20170427","","","","L","周大生珠宝股份有限公司","Chow Tai Seng Jewellery Co.,Ltd.","SZSE","CNY","S"
